cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"The Creator Incarnate",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN006,97093037 
"The Dark - Hex-Sealed Fusion",4,"Common",M,Unlimited,"Flaming Eternity",FET-EN028,52101615 
"The Dark Door",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-093,30606547 
"The Dragon Dwelling in the Cave",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-037,93346024 
"The Dragon's Bead",5,"Rare",M,Unlimited,"Legacy of Darkness",LOD-043,92408984 
"The Earl of Demise",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-056,66989694 
"The Earth - Hex-Sealed Fusion",10,"Common",M,Unlimited,"Flaming Eternity",FET-EN029,88696724 
"The Emperor's Holiday",7,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-087,68400115 
"The Eye of Truth",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-010,34694160 
"The First Sarcophagus",1,"Super Rare",M,Unlimited,"Ancient Sanctuary",AST-101,31076103 
"The Flute of Summoning Dragon",3,"Rare",M,Unlimited,"Retro Pack 1",RP01-EN087,43973174 
"The Forceful Sentry",1,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN029,42829885 
"The Forces of Darkness",9,"Common",M,Unlimited,"Elemental Energy",EEN-EN051,29826127 
"The Forgiving Maiden",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-044,84080938 
"The Furious Sea King",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-033,18710707 
"The Gift of Greed",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN079,5915629 
"The Graveyard in the Fourth Dimension",12,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN044,88089103 
"The Gross Ghost of Fled Dreams",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-053,68049471 
"The Hunter with 7 Weapons",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-024,1525329 
"The Illusory Gentleman",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-053,83764996 
"The Immortal Bushi",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN029,52035300 
"The Immortal of Thunder",3,"Common",M,Unlimited,"Metal Raiders",MRD-099,84926738 
"The Kick Man",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-012,90407382 
"The Lady in Wight",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN038,40991587 
"The Law of the Normal",3,"Common",M,1st Edition,"Ancient Sanctuary",AST-094,66926224 
"The League of Uniform Nomenclature",6,"Common",M,Unlimited,"Elemental Energy",EEN-EN055,55008284 
"The Legendary Fisherman",1,"Ultra Rare",M,Unlimited,"Pharaoh's Servant",PSV-076,3643300 
"The Light - Hex-Sealed Fusion",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN027,15717011 
"The Little Swordsman of Aile",2,"Common",M,1st Edition,"Metal Raiders",MRD-085,25109950 
"The Masked Beast",2,"Ultra Rare",M,Unlimited,"Labyrinth of Nightmare",LON-001,49064413 
"The Paths of Destiny",5,"Common",M,1st Edition,"Power of the Duelist",POTD-EN052,50470982 
"The Portrait's Secret",3,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-052,32541773 
"The Puppet Magic of Dark Ruler",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-013,40703393 
"The Regulation of Tribe",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-027,296499 
"The Reliable Guardian",4,"Common",M,Unlimited,"Magic Ruler",MRL-044,16430187 
"The Rock Spirit",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-069,76305638 
"The Sanctuary in the Sky",2,"Super Rare",M,Unlimited,"Ancient Sanctuary",AST-042,56433456 
"The Second Sarcophagus",1,"Common",M,Unlimited,"Ancient Sanctuary",AST-100,4081094 
"The Secret of the Bandit",1,"Common",M,Unlimited,"Legacy of Darkness",LOD-085,99351431 
"The Shallow Grave",3,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-036,43434803 
"The Six Samurai - Irou",3,"Common",M,Unlimited,"Strike of Neos",STON-EN012,27782503 
"The Six Samurai - Kamon",6,"Common",M,Unlimited,"Strike of Neos",STON-EN008,90397998 
"The Six Samurai - Nisashi",9,"Common",M,Unlimited,"Strike of Neos",STON-EN010,31904181 
"The Six Samurai - Yaichi",6,"Common",M,1st Edition,"Strike of Neos",STON-EN007,64398890 
"The Six Samurai - Yariza",4,"Common",M,Unlimited,"Strike of Neos",STON-EN009,69025477 
"The Six Samurai - Zanji",6,"Common",M,Unlimited,"Strike of Neos",STON-EN011,95519486 
"The Spell Absorbing Life",3,"Common",M,Unlimited,"Magician's Force",MFC-104,99517131 
"The Thing in the Crater",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-063,78243409 
"The Third Sarcophagus",5,"Common",M,Unlimited,"Ancient Sanctuary",AST-099,78697395 
"The Transmigration Prophecy",2,"Rare",M,Unlimited,"Strike of Neos",STON-EN054,46652477 
"The Tricky",1,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN090,14778250 
"The Trojan Horse",7,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN029,38479725 
"The Unfriendly Amazon",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-031,65475294 
"The Unhappy Girl",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-010,27618634 
"The Warrior Returning Alive",5,"Rare",M,1st Edition,"Legacy of Darkness",LOD-030,95281259 
"The White Stone of Legend",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN035,79814787 
"The World Tree",2,"Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN059,5973663 
"Theban Nightmare",3,"Rare",M,Unlimited,"Ancient Sanctuary",AST-063,51838385 
"Thousand Dragon",6,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN045,41462083 
"Thousand Energy",5,"Rare",M,Unlimited,"Ancient Sanctuary",AST-097,5703682 
"Thousand Needles",13,"Common",M,Unlimited,"Dark Crisis",DCR-028,33977496 
"Thousand-Eyes Idol",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-083,27125110 
"Thousand-Eyes Jellyfish",4,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN082,81434470 
"Threatening Roar",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN052,36361633 
"Three-Headed Geedo",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-002,78423643 
"Throwstone Unit",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-017,76075810 
"Thunder Crash",3,"Common",M,1st Edition,"Invasion of Chaos",IOC-043,69196160 
"Thunder Dragon",12,"Common",M,Unlimited,"Metal Raiders",MRD-097,31786629 
"Thunder Nyan Nyan",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-059,70797118 
"Thunder of Ruler",4,"Common",M,Unlimited,"Magician's Force",MFC-042,91781589 
"Tiger Axe",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN091,49791927 
"Tiger Dragon",3,"Rare",M,Unlimited,"Crossroads of Chaos",CSOC-EN036,10097168 
"Time Seal",9,"Common",M,Unlimited,"Pharaoh's Servant",PSV-007,35316708 
"Time Wizard",3,"Ultra Rare",M,1st Edition,"Metal Raiders",MRD-065,71625222 
"Timeater",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-010,44913552 
"Timidity",2,"Common",M,1st Edition,"Pharaonic Guardian",PGD-039,40350910 
"Token Feastevil",3,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN057,83675475 
"Token Thanksgiving",7,"Common",M,Unlimited,"Dark Crisis",DCR-041,57182235 
"Toll",8,"Common",M,Unlimited,"Magic Ruler",MRL-034,82003859 
"Tongyo",7,"Common",M,Unlimited,"Metal Raiders",MRD-045,69572024 
"Toon Defense",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN122,43509019 
"Toon Gemini Elf",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN119,42386471 
"Toon Goblin Attack Force",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN117,15270885 
"Toon Masked Sorcerer",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN120,16392422 
"Toon Mermaid",9,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN039,65458948 
"Toon Summoned Skull",16,"Ultra Rare",M,1st Edition,"Magic Ruler",MRL-073,91842653 
"Toon World",10,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN042,15259703 
"Tornado",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN038,61068510 
"Tornado Bird",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN009,71283180 
"Tornado Wall",5,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-023,18605135 
"Torpedo Fish",8,"Common",M,Unlimited,"Invasion of Chaos",IOC-082,90337190 
"Torrential Tribute",2,"Ultra Rare",M,Unlimited,"Labyrinth of Nightmare",LON-025,53582587 
"Tour of Doom",6,"Common",M,Unlimited,"Light of Destruction",LODT-EN068,62784717 
"Tower of Babel",5,"Common",M,Unlimited,"Invasion of Chaos",IOC-050,94256039 
"Transcendent Wings",10,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN045,25573054 
"Transmigration Break",6,"Common",M,1st Edition,"Phantom Darkness",PTDN-EN079,66100045 
"Trap Dustshoot",2,"Common",M,Unlimited,"Pharaonic Guardian",PGD-049,64697231 
"Trap Hole",8,"Common",M,Unlimited,"Retro Pack 1",RP01-EN007,4206964 
"Trap Jammer",4,"Common",M,Unlimited,"Duelist Pack 4: Zane Truesdale",DP04-EN026,19252988 
"Trap of Board Eraser",1,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN047,3055837 
"Trap of Darkness",2,"Rare",M,Unlimited,"The Duelist Genesis",TDGS-EN092,79766336 
"Trap Reclamation",4,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN077,2122975 
"Treeborn Frog",1,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN025,12538374 
"Tremendous Fire",2,"Common",M,Unlimited,"Metal Raiders",MRD-088,46918794 
"Trent",4,"Common",M,1st Edition,"Metal Raiders",MRD-052,78780140 
"Trial of Nightmare",6,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-012,77827521 
"Trial of the Princesses",4,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN044,72709014 
"Triangle Ecstasy Spark",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN099,12181376 
"Triangle Power",1,"Rare",M,Unlimited,"Ancient Sanctuary",AST-098,32298781 
"Tribe-Infecting Virus",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN131,33184167 
"Tribute Doll",4,"Rare",M,Unlimited,"Magician's Force",MFC-039,2903036 
"Tribute to the Doomed",1,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN165,79759861 
"Tricky Spell 4",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN091,75622824 
"Triggered Summon",5,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN046,96148285 
"Tripwire Beast",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-104,45042329 
"Trojan Blast",1,"Super Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN056,63323539 
"Troop Dragon",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-042,55013285 
"Truckroid",3,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN014,61538782 
"Tsukuyomi",6,"Rare",M,Unlimited,"Dark Crisis",DCR-075,34853266 
"Turbo Booster",2,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN001,60187739 
"Turbo Synchron",1,"Rare",M,1st Edition,"Crossroads of Chaos",CSOC-EN002,67270095 
"Turtle Oath",5,"Common",M,Unlimited,"Magic Ruler",MRL-066,76806714 
"Turtle Tiger",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-023,37313348 
"Tutan Mask",6,"Common",M,Unlimited,"Pharaonic Guardian",PGD-041,3149764 
"Twin Long Rods #2",2,"Common",M,Unlimited,"Magic Ruler",MRL-057,29692206 
"Twin Swords of Flashing Light - Tryce",2,"Common",M,Unlimited,"Dark Crisis",DCR-037,21900719 
"Twin-Headed Behemoth",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN174,43586926 
"Twin-Headed Fire Dragon",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-042,78984772 
"Twin-Headed Thunder Dragon",6,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN069,54752875 
"Twin-Headed Wolf",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-008,88132637 
"Twin-Shield Defender",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN011,24025620 
"Twister",5,"Rare",M,Unlimited,"Strike of Neos",STON-EN042,45939841 
"Two Thousand Needles",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-027,83228073 
"Two-Headed King Rex",1,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN096,94119974 
"Two-Man Cell Battle",17,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN045,25578802 
"Two-Mouth Darkruler",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-030,57305373 
"Two-Pronged Attack",2,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-061,83887306 
"Tyhone",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-063,72842870 
"Tyhone #2",7,"Common",M,Unlimited,"Magic Ruler",MRL-017,56789759 
"Type Zero Magic Crusher",6,"Common",M,Unlimited,"Pharaoh's Servant",PSV-074,21237481 
"Tyranno Infinity",16,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN029,83235263 
"UFO Turtle",12,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN047,60806437 
"UFOroid",6,"Super Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN010,7602840 
"UFOroid Fighter",3,"Ultra Rare",M,1st Edition,"Cybernetic Revolution",CRV-EN034,32752319 
"Ultimate Baseball Kid",12,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN021,67934141 
"Ultimate Insect LV1",3,"Rare",M,Unlimited,"Soul of the Duelist",SOD-EN005,49441499 
"Ultimate Insect LV3",2,"Rare",M,1st Edition,"Rise of Destiny",RDS-EN007,34088136 
"Ultimate Insect LV5",3,"Rare",M,Unlimited,"Flaming Eternity",FET-EN007,34830502 
"Ultimate Insect LV7",1,"Super Rare",M,Unlimited,"Dark Revelation Volume 3",DR3-EN190,19877898 
"Ultimate Obedient Fiend",2,"Common",M,Unlimited,"Magician's Force",MFC-082,32240937 
"Ultimate Tyranno",1,"Super Rare",M,Unlimited,"Power of the Duelist",POTD-EN020,15894048 
"Ultra Evolution Pill",4,"Rare",M,Unlimited,"Invasion of Chaos",IOC-097,22431243 
"Umbral Soul",5,"Common",M,Unlimited,"Strike of Neos",STON-EN030,86229493 
"Umiiruka",9,"Common",M,Unlimited,"Magic Ruler",MRL-097,82999629 
"Unifrog",3,"Common",M,1st Edition,"Light of Destruction",LODT-EN029,56052205 
"Union Rider",4,"Common",M,Unlimited,"Magician's Force",MFC-018,11743119 
"United Resistance",5,"Common",M,Unlimited,"Magician's Force",MFC-003,85936485 
"Unleash Your Power!",2,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN056,73567374 
"Unshaven Angler",14,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN028,92084010 
"Upstart Goblin",13,"Common",M,Unlimited,"Magic Ruler",MRL-033,70368879 
"Uraby",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-069,1784619 
"V-Tiger Jet",10,"Common",M,Unlimited,"Elemental Energy",EEN-EN002,51638941 
"Vampire Baby",4,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-090,56387350 
"Vampire Lady",4,"Common",M,Unlimited,"Ancient Sanctuary",AST-013,26495087 
"Vampire Lord",2,"Secret Rare",M,Unlimited,"Dark Crisis",DCR-000,53839837 
"Vampire's Curse",1,"Ultra Rare",M,Unlimited,"Phantom Darkness",PTDN-EN090,34294855 
"Vampiric Orchis",1,"Common",M,1st Edition,"Magician's Force",MFC-014,46571052 
"Vanity's Call",6,"Common",M,Unlimited,"Cyberdark Impact",CDIP-EN059,24838456 
"Vanity's Fiend",2,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN017,47084486 
"Vanity's Ruler",2,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN024,72634965 
"Vehicroid Connection Zone",5,"Common",M,Unlimited,"Power of the Duelist",POTD-EN040,23299957 
"Vengeful Bog Spirit",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-103,95220856 
"Vengeful Shinobi",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN028,26046205 
"Venom Boa",2,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN016,9284723 
"Venom Burn",1,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN071,4466015 
"Venom Cobra",7,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN005,22499463 
"Venom Serpent",6,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN017,36278828 
"Venom Shot",3,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN053,60728397 
"Venom Snake",2,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN015,73899015 
"Venom Swamp",1,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN051,54306223 
"Vicious Claw",4,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN047,75524092 
"Vile Germs",1,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-090,39774685 
"Vilepawn Archfiend",6,"Common",M,Unlimited,"Dark Crisis",DCR-067,73219648 
"Violet Crystal",1,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-042,15052462 
"Volcanic Blaster",5,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN011,81020140 
"Volcanic Hammerer",8,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN013,54514594 
"Volcanic Queen",5,"Common",M,Unlimited,"Light of Destruction",LODT-EN005,63014935 
"Volcanic Rat",4,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN002,33112041 
"Volcanic Recharge",7,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN049,33725271 
"Volcanic Scattershot",4,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN010,69750546 
"Volcanic Shell",2,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN009,33365932 
"Volcanic Slicer",2,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN012,17415895 
"VW-Tiger Catapult",9,"Common",M,Unlimited,"Elemental Energy",EEN-EN030,58859575 
"VWXYZ-Dragon Catapult Cannon",2,"Rare",M,Unlimited,"Duelist Pack 2: Chazz Princeton",DP2-EN017,84243274 
"W-Wing Catapult",13,"Common",M,Unlimited,"Elemental Energy",EEN-EN011,96300057 
"Wall of Illusion",3,"Common",M,Unlimited,"Retro Pack 1",RP01-EN083,13945283 
"Wall of Ivy",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN004,30069398 
"Wall of Revealing Light",3,"Common",M,1st Edition,"Ancient Sanctuary",AST-050,17078030 
"Wall Shadow",2,"Common",M,Unlimited,"Magic Ruler",MRL-056,63162310 
"Wandering Mummy",1,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-019,42994702 
"Warrior Dai Grepher",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-020,75953262 
"Warrior of Atlantis",2,"Ultimate Rare",M,Unlimited,"Force of the Breaker",FOTB-EN016,43797906 
"Warrior of Zera",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-002,66073051 
"Wasteland",1,"Common",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-047,23424603 
"Water Dragon",1,"Super Rare",M,Unlimited,"Elemental Energy",EEN-EN015,85066822 
"Water Omotics",7,"Common",M,Unlimited,"Metal Raiders",MRD-021,2483611 
"Wave-Motion Cannon",7,"Common",M,Unlimited,"Magician's Force",MFC-040,38992735 
"Weapon Change",1,"Common",M,Unlimited,"Ancient Sanctuary",AST-041,10035717 
"Weather Report",2,"Common",M,Unlimited,"Magic Ruler",MRL-020,72053645 
"Weed Out",3,"Common",M,Unlimited,"Elemental Energy",EEN-EN054,28604635 
"Wetlands",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN054,2084239 
"Whiptail Crow",1,"Common",M,Unlimited,"Magic Ruler",MRL-027,91996584 
"Whirlwind Prodigy",12,"Common",M,Unlimited,"Flaming Eternity",FET-EN030,15090429 
"Whirlwind Weasel",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN025,93730409 
"White Dragon Ritual",3,"Common",M,Unlimited,"Magician's Force",MFC-027,9786492 
"White Magician Pikeru",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-033,81383947 
"White Ninja",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN025,1571945 
"Wicked-Breaking Flamberge - Baou",1,"Rare",M,Unlimited,"Dark Crisis",DCR-035,68427465 
"Wild Fire",6,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN039,68815401 
"Wild Nature's Release",1,"Super Rare",M,Unlimited,"Invasion of Chaos",IOC-033,61166988 
"Wind Effigy",2,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN041,99865167 
"Winged Dragon, Guardian of the Fortress #1",3,"Common",M,Unlimited,"Metal Raiders",MRD-002,87796900 
"Winged Kuriboh",3,"Super Rare",M,Unlimited,"The Lost Millennium",TLM-EN005,57116033 
"Winged Kuriboh LV10",3,"Rare",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN006,98585345 
"Winged Minion",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-005,89258225 
"Winged Sage Falcos",3,"Rare",M,Unlimited,"Pharaonic Guardian",PGD-072,87523462 
"Wingweaver",3,"Common",M,Unlimited,"Pharaoh's Servant",PSV-096,31447217 
"Witch Doctor of Chaos",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-016,75946257 
"Witch Doctor of Sparta",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN026,30525991 
"Witch of the Black Forest",2,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN066,78010363 
"Witch's Apprentice",5,"Rare",M,Unlimited,"Metal Raiders",MRD-121,80741828 
"Witty Phantom",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-072,36304921 
"Wolf Axwielder",7,"Common",M,Unlimited,"Legacy of Darkness",LOD-052,56369281 
"Wonder Garage",10,"Common",M,Unlimited,"Power of the Duelist",POTD-EN055,50684552 
"Woodborg Inpachi",9,"Common",M,Unlimited,"Rise of Destiny",RDS-EN001,35322812 
"Woodland Sprite",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-061,6979239 
"World Suppression",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-020,12253117 
"Worm Drake",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-004,73216412 
"Wroughtweiler",7,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN012,6480253 
"Wynn the Wind Charmer",9,"Common",M,Unlimited,"The Lost Millennium",TLM-EN029,37744402 
"X-Head Cannon",1,"Common",M,Unlimited,"Duelist Pack 2: Chazz Princeton",DP2-EN005,62651957 
"Xing Zhen Hu",12,"Common",M,Unlimited,"Rise of Destiny",RDS-EN051,76515293 
"XYZ-Dragon Cannon",1,"Rare",M,Unlimited,"Duelist Pack 2: Chazz Princeton",DP2-EN014,91998119 
"XZ-Tank Cannon",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN108,99724761 
"Y-Dragon Head",5,"Super Rare",M,Unlimited,"Magician's Force",MFC-005,65622692 
"Yado Karu",5,"Common",M,1st Edition,"Metal Raiders",MRD-104,29380133 
"Yami",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-051,59197169 
"Yata-Garasu",3,"Secret Rare",M,Unlimited,"Legacy of Darkness",LOD-000,3078576 
"Yellow Luster Shield",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-037,4542651 
"Yomi Ship",5,"Common",M,1st Edition,"Pharaonic Guardian",PGD-071,51534754 
"YZ-Tank Dragon",1,"Super Rare",M,Unlimited,"Magician's Force",MFC-054,25119460 
"Z-Metal Tank",5,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN061,64500000 
"Zeradias, Herald of Heaven",3,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN018,12171659 
"Zero Gravity",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-053,83133491 
